Name,Description,RecipeIngredientQuantities,RecipeIngredientParts,AggregatedRating,ReviewCount,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeServings,RecipeYield,RecipeInstructions,ingredients_raw,ingredients,iscurry,isomelette
Sweet Fluffy Omelet With Raspberries,"This recipe takes like no time to prepare and omelets are really really fluffy! It is great for breakfast or desert. I like them with sweet cream cheese and raspberries, but you can serve it with whatever you like. And the omelets are even tasty without any additions.","c(""2"", ""2"", ""2"", ""2"", ""3"", ""1/2"", ""1"")","c(""eggs"", ""sugar"", ""all-purpose flour"", ""cream cheese"", ""fresh raspberry"")",5.0,1.0,723.4,52.9,16.2,470.9,269.7,45.9,4.4,28.8,18.1,1.0,,"c(""Separate whites from yolks."", ""Beat egg whites with a whisk or an electric mixer until stiff."", ""Add egg yolks, sugar and flour and blend it together. Make it quickly so that the mixture is still fluffy."", ""Heat the oil in skillet over low heat. Add the mixture to the pan, cover with the lid and fry for 1-2 minutes."", ""Flip the omelet and fry for 30 seconds."", ""When the omelet is done spread the vanilla cream cheese on the top."", ""Add raspberries or other fruit on top and sprinkle with cacao.""
)","[""2       eggs"",""2   tablespoons    sugar"",""2   tablespoons    all-purpose flour"",""2   tablespoons    oil"",""3   tablespoons   of vanilla cream cheese"",""1/2  cup    fresh raspberry"",""1   teaspoon    cacao""]","[""all"", ""vanilla cream cheese"", ""fresh raspberry"", ""cacao""]",0,1
Italian Omelet,Make and share this Italian Omelet recipe from Food.com.,"c(NA, ""2"", ""1"", ""1/2"", ""1"", ""2"", ""1"", ""1"", ""4"", NA)","c(""turkey sausage"", ""fresh mushrooms"", ""onion"", ""plum tomato"", ""dried basil"", ""egg substitute"", ""water"", ""part-skim mozzarella cheese"")",,,145.9,6.8,3.3,18.8,290.4,5.8,1.1,3.1,15.6,4.0,1 Omelette,"c(""In a large nonstick skillet, heat cooking spray until hot but not smoking. While skillet is heating, remove sausage meat from casing; then brown it, breaking up the lumps, for 2 minutes."", ""Add mushrooms and onion and brown them, stirring for 2 minutes."", ""Stir in tomatoes and basil, lower heat, and cook, covered for 3 minutes until tomatoes are softened."", ""Remove sausage-tomato mixture from skillet and keep warm."", ""In a small bowl, combine 1/4 cup egg substitute with 1 teaspoon water and beat well."", 
""Heat skillet. Pour in egg and swirl pan until entire bottom is covered. Place 1/4 cheese on one half of egg and top with 3 tablespoons of sausage mixture. Fold over, reduce heat and cook until cheese is melted."")","[""  butter-flavored cooking spray"",""2      low-fat turkey sausage"",""1   cup    fresh mushrooms, sliced thinly "",""1/2  cup    onion, chopped "",""1   cup   ripe plum tomato, chopped "",""2   teaspoons    dried basil"",""1   cup    egg substitute"",""1   teaspoon    water"",""4   ounces    part-skim mozzarella cheese, grated "",""  salt and pepper""]","[""butter - flavored cooking spray"", ""fat turkey sausage"", ""fresh mushrooms"", ""onion"", ""ripe plum tomato chopped"", ""dried basil"", ""skim mozzarella cheese grated"", ""salt pepper""]",0,1
Boy Scout Zip-Lock Omelet,Make and share this Boy Scout Zip-Lock Omelet recipe from Food.com.,"c(""1"", ""8"", NA, NA, ""6"", ""1"", ""1"")","c(""egg"", ""cheese"", ""ham"", ""salt"")",,,254.5,18.0,8.5,396.4,488.4,3.8,0.0,0.7,18.5,6.0,,"c(""1.\tBring water to boil in large pot."", ""2.\tCrack eggs into Zip-loc baggie."", ""3.\tAdd ham bits."", ""4.\tAdd spices."", ""5.\tClose and shake to mix."", ""6.\tUse paper clip to hold tops of all baggies together so they do not melt on the side of the hot pot."", ""7.\tPlace baggies into hot water."", ""8.\tBoil until eggs are firm and cooked."", ""9.\tOpen baggie and add grated cheese."", ""10.\tEat right out of baggie."")","[""1   dozen    egg (2 eggs per scout)"",""8   ounces   of grated cheese"",""  ham, bits "",""  salt, pepper, other desired spices "",""6       ziploc bags, 1 for each Omelet "",""1       stock, pot large "",""1      giant paper clip""]","[""grated cheese"", ""ham bits"", ""salt pepper spices"", ""Omelet""]",0,1
Breakfast Hash Brown Omelette,Give the cook some time off this weekend with this simple breakfast idea that anyone can make.  Frozen hash brown potatoes and Bick's Zesty Onion Relish gives this dish a satisfyingly savoury flavour that the whole family will love.,"c(""6"", ""3"", ""1/2"", ""1/3"", ""6"", ""1/4"", NA, ""1"")","c(""bacon"", ""frozen hash brown potatoes"", ""potatoes"", ""green pepper"", ""eggs"", ""milk"")",,,435.1,24.4,8.1,342.5,596.3,37.4,2.8,4.3,17.4,4.0,,"c(""Cook bacon in 10-inch frying pan until crisp.  Remove from pan.  Drain and dice."", ""Leave 2 tablespoons drippings in pan.  Add potaotes. Cook, stirring occasionally, until heated through.  Add green peppers and relish.  Cook 15-20 minutes or until underside is starting to brown."", ""Beat eggs, milk, salt and pepper in medium bowl.  Stir in cheese and bacon.  Pour evenly over potatoes.  Mix slightly to let egg mixture seep through potatoes."", ""Cover; cook on low for 8-10 minutes, or until eggs are set.  If desired, broil lightly to brown.  Loosen edges.  Serve in wedges.""
)","[""6   slices    bacon"",""3   cups    frozen hash brown potatoes or 3   cups   shredded cooked potatoes"",""1/2  cup   chopped green pepper"",""1/3  cup   bick\u0027s onion relish"",""6       eggs"",""1/4  cup    milk"",""  salt and pepper"",""1   cup    shredded cheddar cheese""]","[""bacon"", ""frozen hash brown potatoes shredded cooked potatoes"", ""chopped green pepper"", ""bick  onion"", ""milk"", ""salt pepper"", ""shredded cheddar cheese""]",0,1
Shrimp Omelet,"A delicious omelet filled with baby shrimp simmered in a white wine. Good to serve everyday, for company or for that special occasion.","c(""5"", ""3"", ""1"", ""1"", ""3"", NA, ""2"", ""3"")","c(""baby shrimp"", ""white wine"", ""bay leaf"", ""parsley"", ""butter"", ""eggs"")",,,378.0,28.1,15.0,516.7,355.4,1.8,0.0,0.8,24.9,2.0,,"c(""Combine the shrimp, wine, bay leaf and parsley in a small saucepan and simmer, uncovered, over medium heat until all the excess liquid has been evaporated."", ""Discard the bay leaf and parsley and stir in the cream."", ""Season with salt and pepper."", ""Melt the butter in an 8 inch pan or an omelet pan until foaming."", ""Add the eggs and cook over high heat until just beginning to set."", ""Gently lift the edge and tilt the pan to let the unset egg run underneath. Spread the filling over half the omelet. Fold over the other half."", 
""Slide onto a plate and serve. Garnish with more shrimp if desired."")","[""5   ounces   of frozen baby shrimp, thawed "",""3   tablespoons    white wine"",""1   small    bay leaf"",""1   sprig    parsley"",""3   tablespoons    whipping cream"",""  salt and pepper"",""2   tablespoons    butter"",""3       eggs, lightly beaten ""]","[""frozen baby shrimp"", ""white wine"", ""sprig parsley"", ""whipping cream"", ""salt pepper""]",0,1
Omelette,"Taken from 'Food for Health and Vitality' - Serves 1
Celery can be replaced with sweetcorn kernels
Mushrooms can be replace by 50 g courgettes, diced finely or fresh tomato slices or few strips red or green pepper","c(""2"", ""1"", ""1"", NA, ""1"", ""1"", ""50"", ""1"", ""25"")","c(""eggs"", ""water"", ""dried thyme"", ""black pepper"", ""onion"", ""celery"", ""cheddar cheese"")",5.0,1.0,370.0,31.4,10.2,398.3,304.5,2.4,0.4,1.1,19.0,1.0,,"c(""Break the eggs into a jug and add the water.  Whisk together lightly to mix inches  Stir in the thyme and a little black pepper to season.  Set aside.  Heat the grill to red hot.  Heat the oil in a small omelette pan and over a low heat cook the onion, celery or sweetcorn and chosen filling.  Cook for 4 minutes and then pour in the egg mixtue."", ""Turn up the heat and let the mixture run around the pan to set.  Cook until the cente is almost set, then sprinkle cheese on top and quickly put the pan under the grill.  Heat until the cheese is melted and the filling has risen.  Slide on to a hot serving plate and serve immediately with some fresh wholewheat bread and a crisp green salad.""
)","[""2       eggs (free-range)"",""1   tablespoon    water (cold)"",""1   pinch    dried thyme"",""  black pepper (freshly ground)"",""1   tablespoon    onion (peeled and chopped)"",""1   tablespoon    celery, chopped "",""50   g    mixed mushrooms, chopped "",""1   tablespoon    sunflower oil"",""25   g    cheddar cheese, grated ""]","[""water"", ""dried thyme"", ""black pepper"", ""onion"", ""celery chopped"", ""mixed mushrooms chopped"", ""sunflower oil"", ""cheddar cheese""]",0,1
Omelet With Meat Sauce,Make and share this Omelet With Meat Sauce recipe from Food.com.,"c(""3"", ""1"", ""3"", ""2"", ""1"", ""125"", ""2"", ""1"", ""2"", ""6"", NA, NA)","c(""garlic clove"", ""spring onions"", ""celery ribs"", ""boneless chicken breast"", ""ground pork"", ""cornflour"", ""dry sherry"", ""soy sauce"", ""eggs"", ""celery leaves"")",,,363.4,27.4,7.1,324.7,667.8,4.0,0.7,1.1,23.6,4.0,,"c(""Heat 1 tablespoon of the oil in a wok or frying pan, add the garlic, 2 spring onions and celery and cook for 1 minute.  Increase the heat, add the chicken and pork and cook for 2 minutes."", ""Blend the cornflour with 1 tablespoon water.  Stir into the sauce with the sherry and soy sauce and simmer, stirring occasionally, for 15 minutes."", ""Meanwhile, make the omelet."", ""Season the eggs with salt and pepper to taste.  Heat the remaining 2 tablespoons oil in a large frying pan pour in the eggs and cook gently, drawing the cooked edges towards the centre with a fork, until set and browned on both sides."", 
""Carefully transfer to a warmed serving dish.  Spoon over the meat sauce and garnish with spring onions and celery leaves.  Serve immediately."")","[""3   tablespoons    oil"",""1       garlic clove, crushed "",""3       spring onions, finely chopped "",""2       celery ribs, chopped "",""1       boneless chicken breast, diced "",""125   g    ground pork"",""2   teaspoons    cornflour"",""1   tablespoon    dry sherry"",""2   tablespoons    soy sauce"",""6       eggs (beaten)"",""  salt and pepper"",""  celery leaves""]","[""garlic clove"", ""spring onions"", ""celery ribs chopped"", ""boneless chicken breast"", ""ground pork"", ""dry sherry"", ""soy sauce"", ""salt pepper"", ""celery leaves""]",0,1
Spanish Omelette With Sweet Onions,"I thought I'd try to make my own Spanish omelette. I first tried a Rick Stein recipe which used salt cod, but I wasn't impressed, so I thought I'd adapt his recipe to make a plainer version. You could add anything you wanted to it - a bit of chorizo, peas, spinach, ham or just have it plain like this with a bit of salad.","c(""450"", ""2"", ""8"", ""2"", ""2"", NA)","c(""potatoes"", ""onions"", ""eggs"", ""olive oil"", ""fresh parsley"")",4.0,1.0,320.0,16.4,4.1,372.0,152.9,27.5,3.8,4.4,15.7,4.0,,"c(""Heat the oil in a heavy-based frying pan."", ""Over a medium heat, add the onions and cook for three minutes, stirring occasionally."", ""Meanwhile, cut the potatoes into thick matchsticks (about 5 mm square, the length of the potatoes)."", ""Add the potatoes to the pan and cook for 15 minutes or until tender, stirring occasionally."", ""Beat the eggs and season well with salt and pepper. Add the parsley to the mix."", ""Pour the egg mix over the potatoes, toss quickly to coat and put over a very low heat for 15 minutes, or until nearly set."", 
""Use a plate to help you turn the tortilla over in the pan. Heat over the same low heat for another 5 minutes to cook the other side."", ""Serve warm or at room temperature."")","[""450   g   peeled potatoes"",""2   large    onions, sliced "",""8       eggs"",""2   tablespoons    olive oil"",""2   tablespoons   chopped fresh parsley"",""  salt and pepper""]","[""peeled potatoes"", ""large onions"", ""olive oil"", ""chopped fresh parsley"", ""salt pepper""]",0,1
Zucchini Omelet,"A friend gave me fresh zucchini from her garden. I didn't miss the meat or the cheese in this recipe--this was phenomenal.  I didn't have fresh tomatoes so I used a can of Ro-Tel instead and still loved it.  This says it serves 4, but I have to confess I ate more than a serving.  Recipe courtesy of The Settlement Cookbook. 1965.  YUMMY!","c(""1"", ""2"", ""2"", ""1"", ""1"", ""1/4"", NA, NA, ""4"")","c(""scallion"", ""zucchini"", ""butter"", ""tomatoes"", ""garlic clove"", ""dill weed"", ""salt"", ""pepper"", ""eggs"")",,,154.7,11.0,5.3,226.8,126.4,7.0,2.1,3.5,8.3,4.0,,"c(""Saute scallions and zucchini in 2 tablespoons butter until zucchini slices are lightly browned on both sides."", ""Add tomato and garlic and cook until most of the juice has cooked away."", ""Add dill, salt, and pepper."", ""Beat eggs and pour over vegetables."", ""Cook only until eggs are set."")","[""1   cup    scallion, slivered "",""2   medium    zucchini, sliced "",""2   tablespoons    butter"",""1   medium    tomatoes, chopped "",""1       garlic clove, crushed "",""1/4  teaspoon    dill weed"",""  salt"",""  pepper"",""4       eggs""]","[""scallion"", ""zucchini"", ""tomatoes chopped"", ""garlic clove""]",0,1
Omelette over Easy Style,"I am not usually crazy about omlettes because I like the runny yolk of an over easy egg. With this omlette you'll get both... the delicious flavor of an omelette, with crispy sweet onion and cheese, and you'll also get the nice rich yolk of the egg running out of the omlette as you cut into it. Delicious!","c(""1/4"", ""3"", ""2"", NA, NA)","c(""onion"", ""eggs"", ""cheddar cheese"")",,,289.0,19.6,7.6,649.3,298.5,4.1,0.4,2.4,22.6,1.0,,"c(""Heat the oil in the skillet on medium high and place the onion in the skillet in a single layer to brown and crisp."", ""Meanwhile, separate the eggs and set the yolk aside. Scramble the whites and season with salt and pepper to. taste."", ""When the onions have browned and start to turn crisp, sprinkle half the cheese into the pan over the onions."", ""Pour the scrambled egg white into the pan, and rotate to fully coat the bottom. Let the bottom set up, then while tilting the pan to the side, use the spatula to lift a portion of the cooked bottom so that the liquid mixture still on top will flow underneath and cook."", 
""Do this all around the skillet until there is very little liquid egg left on top."", ""Sprinkle the rest of the cheese on top and gently add the yolk off center."", ""Carefully lift up one edge of the omelet, and fold it over to the other edge, trapping the yolk inside."", ""Let it heat a minute longer to warm to set the center, then slide the omelet onto your serving plate."")","[""1/4      onion, medium sized sliced VERY thinly "",""3       eggs, separated "",""2   tablespoons    cheddar cheese, shredded "",""  cooking oil"",""  salt and pepper""]","[""onion"", ""cheddar cheese shredded"", ""oil"", ""salt pepper""]",0,1
Asparagus Omelet,Make and share this Asparagus Omelet recipe from Food.com.,"c(NA, ""2"", ""1"", ""4 -5"", NA, ""1"", ""1"", ""1"", NA, ""1"")","c(""asparagus"", ""eggs"", ""butter"", ""asparagus spears"", ""fresh basil leaf"", ""Italian parsley"", ""garlic scape"", ""yogurt"", ""coarse black pepper"", ""Tabasco sauce"")",,,169.6,10.6,3.5,424.9,158.2,4.0,1.2,2.2,14.6,1.0,,"c(""Break ends from asparagus and steam 5-7 minutes. Drain and set aside."", ""Heat 6\"" pan and add butter."", ""Beat eggs, add herbs and seasonings."", ""Pour eggs in pan, allow to set. Pull sides in so liquid escapes to pan."", ""When set, turn over for a few seconds."", ""Place on plate and set asparagus on omelet. Fold, and top with yogurt and the Tobasco."", ""Garnish with a sprig of parsley."")","[""  asparagus, omelet "",""2       eggs"",""1      pat butter"",""4 -5       asparagus spears"","" minced fresh basil leaf"",""1   sprig    Italian parsley"",""1   inch   finely minced garlic scape"",""1   tablespoon    yogurt"","" salt and coarse black pepper"",""1   drop    Tabasco sauce or 1   drop   any legal red pepper hot sauce""]","[""asparagus omelet"", ""asparagus"", ""minced fresh basil leaf"", ""sprig Italian parsley"", ""minced garlic scape"", ""yogurt"", ""salt coarse black pepper"", ""Tabasco sauce legal red pepper hot sauce""]",0,1
Breakfast Omelette (Scd),"Jay
- Northern VA
source: www.scdrecipe.com/recipes/print/460/
Posted on SCDRecipe.com, a collection of recipes intended to help people with inflammatory bowel disease, IBS, Crohn's, colitis, diverticulitis, SIBO, autism, and/or ADHD. All recipes adhere to the Specific Carbohydrate Diet as described in Elaine Gottschall's book Breaking the Vicious Cycle.","c(""4"", ""1"", ""3"")","c(""ground beef"", ""cheese"", ""eggs"")",,,555.1,38.6,15.6,728.8,557.8,3.5,0.0,1.2,45.3,1.0,,"c(""Brown beef in pan, separating into small pieces as it cooks."", ""Beat eggs in small bowl."", ""Grate cheese over ground beef and let it begin to melt in the pan."", ""Add eggs to pan, allowing them to surround the beef and cheese. When the bottom has become done enough, fold omelette and allow the eggs to cook to desired firmness."")","[""4   ounces    ground beef"",""1   ounce   colby jack cheese"",""3       eggs""]","[""ground beef"", ""colby jack cheese""]",0,1
Salmon-Avocado Omelet,"This was a big hit with my husband, even though he's not normally a fan of smoked salmon, and I enjoyed it too, even though I'm picky with my avocado dishes. (The recipe is for one serving, but I doubled it so my husband and I could both enjoy.)

The original recipe can be found here: http://www.integrativenutrition.com/connect/recipes/breakfasts/salmon-avocado-omelet","c(""2"", ""1"", ""1/2"", ""2"", ""1/4"", NA)","c(""eggs"", ""olive oil"", ""onion"", ""smoked salmon"", ""avocado"")",,,361.4,30.8,6.0,423.0,144.8,8.6,3.9,2.6,13.9,1.0,1 omelet,"c(""Beat eggs in a small bowl."", ""Heat oil in a frying pan."", ""Add onion and saute for 5 minutes."", ""Add eggs, turn heat to low and cook for 3-5 minutes until eggs are mostly cooked."", ""Distribute salmon and avocado evenly across the eggs."", ""Use a spatula to fold the omelet in half and cook 30 seconds on each side."")","[""2       eggs"",""1   tablespoon    olive oil"",""1/2  small    onion, thinly sliced "",""2      sliced smoked salmon"",""1/4      avocado, diced "",""  salt and pepper""]","[""olive oil"", ""onion"", ""sliced smoked salmon"", ""avocado"", ""salt pepper""]",0,1
Pear and Onion Omelet With Cheddar Cheese (Scd),Make and share this Pear and Onion Omelet With Cheddar Cheese (Scd) recipe from Food.com.,"c(""4"", ""1/2"", ""1"", ""1"", ""1"")","c(""onions"", ""fresh pear"", ""butter"", ""egg"")",,,145.2,5.1,1.6,211.5,72.5,18.9,3.4,10.9,7.1,1.0,,"""Heat 6"" skillet and oil and butter. Saute onions until golden to dark brown. Add pears and continue cooking,  Stir asit cooks. Remove mixture to a plate. Pour egg into pan and allow to set. Add half of the onion/pear mixture. Roll and remove to a plate. Top with remaining pears and onions and garnish with cheese.""","[""4   slices    onions"",""1/2      fresh pear (peeled or un-peeled)"",""1      little vegetable oil"",""1      pat butter"",""1       egg, beaten1 slice Cheddar cheese ""]","[""onions"", ""fresh pear"", ""vegetable oil"", ""egg Cheddar cheese""]",0,1
Sweet Bacon Cheese Egg Omelet,"This recipe The whole family will love it has the slight taste of saltiness then boom its sweet!
This is a 1-2-3 recipe.","c(""4"", ""1/4"", ""1/4"", ""1"", ""1"", ""1/4"", ""1/4"", ""1/4"")","c(""eggs"", ""salt"", ""pepper"", ""cinnamon"", ""sugar"", ""cheese"", ""bacon bits"", ""olive oil"")",,,223.3,14.0,5.3,432.0,567.2,8.3,0.0,7.1,15.4,2.0,2-4 Omelets,"c(""Crack the eggs in a medium-sized bowl."", ""Mix in the rest of the ingredients(excluding sugar,bacon,cheese.)."", ""Beat well."", ""Pour wet ingredients into a warm pan on medium-heat."", ""Make sure you put EVOO in the pan first."", ""Flip the egg mixture when the sides are browning."", ""Insert the bacon and cheese"", ""Make a taco shaped form egg."", ""After plated spread sugar over the omelet."")","[""4   large    eggs"",""1/4  teaspoon    salt"",""1/4  teaspoon    pepper"",""1   dash    cinnamon"",""1   tablespoon    sugar"",""1/4  cup    cheese"",""1/4  cup    bacon bits"",""1/4  teaspoon    olive oil""]","[""cinnamon"", ""bacon bits"", ""olive oil""]",0,1
Avocado &amp; Feta Omelet,Make and share this Avocado &amp; Feta Omelet recipe from Food.com.,"c(""1/2"", ""7"", ""1"", ""3"", ""1/2"", ""2"")","c(""olive oil"", ""paprika"", ""basil leaves"", ""avocado"", ""feta cheese"")",,,358.9,28.1,7.4,25.3,502.5,11.9,7.7,2.8,18.2,1.0,1 omelet,"c(""Heat 1 tablespoon of olive oil in a small pan over medium heat."", ""Mix the egg whites and paprika together; pour mixture into pan."", ""After one minute, place the basil leaves over the egg whites."", ""Once the egg whites start to form, spread out the sliced avocado on top and sprinkle with feta cheese."", ""Let cook for 3 minutes and then remove from heat."", ""Fold half of omelet over and serve."")","[""1/2  tablespoon    olive oil"",""7   tablespoons    egg whites"",""1   teaspoon    paprika"",""3   large    basil leaves"",""1/2      avocado, sliced "",""2   tablespoons    feta cheese, crumbled ""]","[""olive oil"", ""egg whites"", ""paprika"", ""basil leaves"", ""avocado"", ""feta cheese""]",0,1
Easy Bake Oven Cheese Omelet,Make and share this Easy Bake Oven Cheese Omelet recipe from Food.com.,"c(""1"", ""4"", ""1/4"", ""1"", ""1"", NA)","c(""egg"", ""oregano"", ""salt"", ""pepper"")",,,36.9,2.5,0.8,105.8,112.5,0.2,0.0,0.2,3.1,2.0,2 omelets,"c(""Preheat the Easy Bake Oven for 15 minutes."", ""Spray 2 Easy Bake Oven pans with cooking spray."", ""Scramble the egg in a bowl."", ""Divide the egg between 2 pans."", ""Sprinkle with oregano, salt and pepper."", ""Sprinkle 2 teaspoons of the cheese on top of each egg."", ""Bake for 15 minutes."")","[""1       egg"",""4   teaspoons    shredded cheddar cheese"",""1/4  teaspoon    oregano (or any herb you like)"",""1   pinch    salt"",""1   pinch    pepper"",""  cooking spray""]","[""shredded cheddar cheese"", ""oregano herb"", ""salt"", ""pepper"", ""spray""]",0,1
Spinach and Feta Omelet,Make and share this Spinach and Feta Omelet recipe from Food.com.,"c(""1"", ""1"", ""1"", ""1/4 - 1/2"", NA, ""2"")","c(""spinach"", ""fresh herb"", ""green onion"", ""feta"", ""eggs"")",,,329.0,19.3,8.9,456.4,829.5,15.8,7.9,4.1,27.9,1.0,,"c(""Mix the spinach, herbs, green onions, feta, salt and pepper in a bowl."", ""Pour the eggs into the pan and let cook with out disturbing it until it begins to set, about 2 minutes."", ""Sprinkle on the spinach mixture and the feta and continue to cook until the eggs are done, about 1-2 minutes."", ""Slide the omelet out onto a plate and garnish it with more herbs and enjoy."")","[""1   bunch    spinach (steamed and squeezed to drain)"",""1   cup    fresh herb (chopped, I used mint, dill and parsley)"",""1       green onion (sliced)"",""1/4-1/2  cup    feta (crumbled)"",""  salt and pepper"",""2       eggs (lightly beaten)""]","[""spinach"", ""fresh herb mint dill parsley"", ""green onion"", ""feta"", ""salt pepper""]",0,1
"Chickpea, Mushroom, Cheese and Egg Omelet","This recipe was created for the &ldquo;Dining on A Dollar&rdquo; contest. This dish is very easy to make and using ingredients that can often be found in your kitchen. Chickpeas (also know as garbanzo bean, Indian pea, ceci bean, Bengal gram) is one of the required ingredients to use and combined with mushrooms, cheese and a touch of tomato sauce makes this egg omelet a tasty one for breakfast or brunch to try.","c(""1"", ""1"", ""1"", ""8"", ""4"", ""1"", ""1"", ""8"", ""1"")","c(""tomato sauce"", ""eggs"", ""margarine"", ""mushroom pieces"", ""garbanzo beans"", ""cheddar cheese"")",4.0,2.0,674.7,45.1,17.6,482.5,1266.2,34.0,6.4,4.7,34.7,4.0,,"c(""In a sauce pan add the cooking oil and then the dried minced onions and stir-fry for about a minute, then add the tomato sauce and stir fry for two minutes, set aside."", ""TO MAKE ONE OMELET."", ""In a small bowl add 2 eggs and whisk with a fork, set aside."", ""Using a Teflon non-stick frying pan add 1 tablespoon of the margarine and coat the entire surface of the pan, then when hot add 2 eggs."", ""When the eggs start to set in the pan, add some mushroom pieces, some garbanzo beans,."", ""some cheese (spread out evenly)."", 
""Next place a pan cover on top and cook until the eggs and ingredients appears cooked (about 2 minutes or more)."", ""Remove the cover, sprinkle some Mr. Dash on top and drizzle some tomato sauce on top (to taste) as well."", ""Take a standard size plate (the same size as the frying pan) and hold in one hand and at the same time hold the frying pan in your other hand, Next tilt the pan and start sliding the omelet onto the plate… or half way onto the plate you can flip over the omelet with the pan, to close omelet, It takes a little practice and not necessary to use a spatula."", 
""Enjoy."")","[""1   tablespoon    cooking oil"",""1   tablespoon    dried onion, Minced "",""1 (8   ounce) can   tomato sauce"",""8       eggs, large "",""4   tablespoons    margarine"",""1 (6 1/2  ounce) can   mushroom pieces (drained mushrooms)"",""1 (16   ounce) can   garbanzo beans (drained)"",""8   ounces    cheddar cheese, cut up into small pieces "",""1   tablespoon    Mrs. Dash seasoning mix""]","[""cooking oil"", ""dried onion"", ""tomato sauce"", ""margarine"", ""mushroom pieces drained mushrooms"", ""garbanzo beans"", ""cheddar cheese"", ""seasoning mix""]",0,1
Crepes or Omelette With Tasty Ground Meat,Make and share this Crepes or Omelette With Tasty Ground Meat recipe from Food.com.,"c(""6"", ""4"", ""1 1/2"", ""1"", ""2"", ""1"", ""100"", ""2"", ""500"", ""500"", ""1"", ""1/2"", ""1/2"", ""1/2"", ""1/2"", ""1 1/2"")","c(""eggs"", ""milk"", ""flour"", ""salt"", ""olive oil"", ""onion"", ""wine"", ""ground beef"", ""tomatoes"", ""dried oregano leaves"", ""ground cinnamon"", ""cumin powder"", ""pepper"", ""salt"")",4.0,1.0,827.0,42.9,16.3,436.5,1774.1,57.3,3.9,5.4,47.1,,,"c(""Mix all ingredients together until smooth."", ""Grease your pan."", ""Pour a ladle full of batter into the pan, swirling the pan to spread it all around. Cook till the top starts to bubble and then flip."", ""Prepare all the omelettes in the same way."", ""During this time you can begin to prepare the meat sauce."", ""Keep the omelettes warm until the sauce is ready."", ""Fry onion in large pan till golden."", ""Add beef and fry on higher heat for about 5 minutes."", ""Add tomato concentrate and fry 2 more minutes."", 
""Add wine and continue to cook until evaporated."", ""Add tomatoes and spices until sauce gets thick."", ""Season with salt and adjust spices to your taste."", ""Serve with the sauce."")","[""6       eggs"",""4   cups    milk"",""1 1/2  cups    flour"",""1   teaspoon    salt"",""2   tablespoons    olive oil"",""1   medium    onion, chopped "",""100   ml    wine, dry, white "",""2   tablespoons    tomato concentrate"",""500   g    ground beef"",""500   g    tomatoes, chopped "",""1   tablespoon    dried oregano leaves"",""1/2  teaspoon    ground cinnamon"",""1/2  teaspoon    cumin powder"",""1/2  teaspoon   ground chili"",""1/2  teaspoon    pepper"",""1 1/2  teaspoons    salt""]","[""milk"", ""olive oil"", ""medium onion chopped"", ""wine"", ""tomato concentrate"", ""ground beef"", ""tomatoes chopped"", ""dried oregano leaves"", ""cinnamon"", ""cumin powder"", ""ground chili""]",0,1
